표적,시각,알수,현재,전체
nolja_0803,1095,10,24,105
nolja_0803,1096,8,25,105
nolja_0803,1097,10,26,105
nolja_0803,1098,8,27,105
nolja_0803,1099,9,28,105
nolja_0803,1100,9,29,105
nolja_0803,1101,7,30,105
nolja_0803,1102,6,31,105
nolja_0803,1103,3,32,105
nolja_0803,1104,4,33,105
nolja_0803,1105,2,34,105
nolja_0803,1106,3,35,105
nolja_0803,1107,3,36,105
nolja_0803,1108,2,37,105
nolja_0803,1109,10,38,105
nolja_0803,1110,6,39,105
nolja_0803,1111,5,40,105
nolja_0803,1114,13,44,105
nolja_0803,1115,5,45,105
nolja_0803,1116,8,46,105
nolja_0803,1117,9,47,105
nolja_0803,1118,8,48,105
nolja_0803,1121,6,52,105
nolja_0803,1122,8,53,105
nolja_0803,1123,6,54,105
nolja_0803,1124,7,65,105
nolja_0803,1127,5,59,105
nolja_0803,1128,3,30,105
nolja_0803,1129,3,61,105
nolja_0803,1130,1,62,105
nolja_0803,1131,3,63,105
nolja_0803,1132,3,64,105
nolja_0803,1133,3,65,105
nolja_0803,1134,2,66,105
nolja_0803,1135,4,67,105
nolja_0803,1136,4,68,105
nolja_0803,1140,3,73,105
nolja_0803,1141,3,74,105
nolja_0803,1142,3,75,105
nolja_0803,1143,3,76,105
nolja_0803,1144,3,77,105
nolja_0803,1145,4,79,105
nolja_0803,1147,5,80,105
nolja_0803,1148,4,80,105
nolja_0803,1149,4,80,105
nolja_0803,1150,5,80,105
nolja_0803,1159,1,45,79
nolja_0803,1315,2,1,65
nolja_0803,1322,10,1,105
nolja_0803,1324,6,103,105
nolja_0803,1325,6,103,105
nolja_0803,1326,7,103,105
nolja_0803,1327,6,102,105
nolja_0803,1328,9,38,105
nolja_0803,1329,3,38,109
nolja_0803,1331,5,80,105
nolja_0803,1332,8,81,105
nolja_0803,1333,5,82,105
nolja_0803,1334,5,83,105
nolja_0803,1335,5,34,105
nolja_0803,1336,11,35,105
nolja_0803,1337,10,86,105
nolja_0803,1338,7,87,105
nolja_0803,1339,3,88,105
nolja_0803,1340,2,89,105
nolja_0803,1341,3,90,105
nolja_0803,1342,8,91,105
nolja_0803,1343,7,92,105
nolja_0803,1344,8,93,105
nolja_0803,1345,8,94,105
nolja_0803,1346,7,95,105
nolja_0803,1347,9,96,105
nolja_0803,1348,8,97,105
nolja_0803,1350,7,39,105
nolja_0803,1354,7,103,105
nolja_0803,1357,10,1,105
nolja_0803,1359,5,1,81
nolja_0803,1360,11,2,81
nolja_0803,1361,11,2,81
nolja_0803,1362,10,3,81
nolja_0803,1363,10,4,81
nolja_0803,1366,10,7,61
nolja_0803,1367,10,7,81
nolja_0803,1368,8,8,81
nolja_0803,1369,9,9,81
nolja_0803,1370,7,10,61
nolja_0803,1371,6,11,81
nolja_0803,1372,5,12,61
nolja_0803,1373,3,13,61
nolja_0803,1374,7,14,81
nolja_0803,1375,7,15,61
nolja_0803,1376,7,16,81
nolja_0803,1377,11,17,81
nolja_0803,1378,5,19,81
nolja_0803,1379,4,19,61
nolja_0803,1380,4,20,61
nolja_0803,1381,5,21,81
nolja_0803,1387,8,27,61
nolja_0803,1388,8,28,61
nolja_0803,1389,8,28,61
nolja_0803,1390,7,28,61
nolja_0803,1391,7,29,61
nolja_0803,1579,2,64,65
nolja_0803,1582,2,64,65
nolja_0803,1583,2,64,65
nolja_0803,1584,2,64,65
nolja_0803,1585,2,64,65
nolja_0803,1586,1,64,65
nolja_0803,1587,2,63,65
nolja_0803,1589,2,61,65
nolja_0803,1590,2,51,65
nolja_0803,1591,1,51,65
nolja_0803,1594,2,37,65
nolja_0803,1597,1,26,65
nolja_0803,1598,2,25,65
nolja_0803,1600,2,10,65
nolja_0803,1602,2,62,65
nolja_0803,1605,2,55,65
nolja_0803,1616,7,7,79
nolja_0803,1617,9,8,79
nolja_0803,1620,5,18,79
nolja_0803,1623,8,26,79
nolja_0803,1624,10,27,79
nolja_0803,1625,7,28,79
nolja_0803,1626,4,29,79
nolja_0803,1628,9,32,79
nolja_0803,1629,6,34,79
nolja_0803,1630,9,35,79
nolja_0803,1632,7,38,79
nolja_0803,1635,9,44,79
nolja_0803,1641,10,50,79
nolja_0803,1643,10,52,79
nolja_0803,1644,9,34,79
nolja_0803,1648,4,68,79
nolja_0803,1649,10,64,79
nolja_0803,1650,9,36,79
nolja_0803,1656,9,78,79
