시리즈존,존전체곡수,번호,확정도,곡,판독,VOD시각
1st~ZERO,81,59,화면에나옴,엔,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,60,화면에나옴,롤링 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,61,화면에나옴,올 아이 원트 포 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,62,화면에나옴,베토벤 바이러스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,63,화면에나옴,오! 로사,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,64,보간,첫사랑,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,65,보간,사랑가,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,66,보간,무혼,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,67,화면에나옴,미스터 라푸스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,68,화면에나옴,파이널 오디션 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,69,화면에나옴,태동,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,70,화면에나옴,터키 행진곡,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,71,화면에나옴,님과 함께,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,72,보간,서울구경,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,73,보간,악몽,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,74,보간,눈을 감아,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,75,보간,프리 스타일,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,76,보간,미드나잇 블루,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,77,보간,그녀는 피자를 좋아해,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,78,보간,펌핑업,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,79,화면에나옴,파이널 오디션,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,80,화면에나옴,엑스트라바간자,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,81,화면에나옴,리피토먼트 리믹스,재판독,22:40~23:12 / 26:58~27:35
NX~NXA,43,1,화면에나옴,블레이즈 이모션,재판독,13:52
NX~NXA,43,2,시각확정,캐논 X.1,재판독,13:51
NX~NXA,43,3,화면에나옴,젓가락 변주곡,재판독,13:51
NX~NXA,43,4,화면에나옴,사람들은 몰랐다네,재판독,13:53
NX~NXA,43,5,화면에나옴,디제이 오타다,재판독,13:54
NX~NXA,43,6,화면에나옴,케이.오.에이 : 엘리스 인 원더월드,재판독,13:55
NX~NXA,43,7,시각확정,마이 드림즈,재판독,13:57
NX~NXA,43,8,시각확정,토카타,재판독,13:58
NX~NXA,43,9,시각확정,파이널 오디션 에피소드 2-X,재판독,13:59
NX~NXA,43,10,시각확정,사람들은 펌핑업을 몰랐다네,재판독,14:00
NX~NXA,43,11,시각확정,미운 오리 토카타,재판독,14:01
NX~NXA,43,12,시각확정,카프리스 오브 디제이 오타다,재판독,14:02
NX~NXA,43,13,화면에나옴,닥터 케이오에이,재판독,14:03
NX~NXA,43,14,화면에나옴,터키 바이러스,재판독,14:04
NX~NXA,43,15,판독기록,젓가락 변주곡 - FULL SONG -,재판독,14:05
NX~NXA,43,16,판독기록,펌트리스 8비트 ver.,재판독,14:06
NX~NXA,43,17,판독기록,무혼 1.5,재판독,14:07
NX~NXA,43,18,화면에나옴,비트 더 고스트,재판독,14:08
NX~NXA,43,19,화면에나옴,카프리스 오브 오타다,재판독,14:09
NX~NXA,43,20,시각확정,머니,재판독,14:09
NX~NXA,43,21,화면에나옴,몽키 핑거즈 2,재판독,14:11
NX~NXA,43,22,화면에나옴,패스터 Z,재판독,14:11
NX~NXA,43,23,화면에나옴,펌트리스 꽈뜨로,재판독,14:12
NX~NXA,43,24,시각확정,기타 맨,재판독,14:13
NX~NXA,43,25,시각확정,히글디 피글디,재판독,14:14
NX~NXA,43,26,시각확정,잼 오 비트,재판독,14:15
NX~NXA,43,27,시각확정,반야-P 기타 리믹스,재판독,14:16
NX~NXA,43,28,시각확정,머니 핑거즈,재판독,14:17
NX~NXA,43,29,화면에나옴,위치 닥터 #1,재판독,14:18
NX~NXA,43,30,화면에나옴,아크 오브 다크니스,재판독,14:19
NX~NXA,43,31,화면에나옴,키메라,재판독,14:21
NX~NXA,43,32,화면에나옴,사랑가 2006,재판독,14:22
NX~NXA,43,33,시각확정,두 유 노우 댓-올드 스쿨,재판독,14:23
NX~NXA,43,34,시각확정,건락,재판독,14:24
NX~NXA,43,35,시각확정,투우사의 노래,재판독,14:25
NX~NXA,43,36,시각확정,미운 오리 새끼,재판독,14:26
NX~NXA,43,37,시각확정,파이널 오디션 에피소드 2-1,재판독,14:27
NX~NXA,43,38,시각확정,파이널 오디션 에피소드 2-2,재판독,14:28
NX~NXA,43,39,시각확정,위엑닥바,재판독,14:29
NX~NXA,43,40,시각확정,비메라,재판독,14:30
NX~NXA,43,41,시각확정,반야-P 클래식 리믹스,재판독,14:31
NX~NXA,43,42,화면에나옴,러브 이즈 어 데인저 존 2 - FULL SONG -,재판독,13:51
NX~NXA,43,43,화면에나옴,비트 오브 더 워 2 - FULL SONG -,재판독,13:51
FIESTA~FIESTA 2,105,1,화면에나옴,엘리제,재판독,14:39
FIESTA~FIESTA 2,105,2,화면에나옴,이그니스 패터스(DM Ashura 믹스),재판독,14:40
FIESTA~FIESTA 2,105,3,화면에나옴,러브 이즈 어 데인저 존(Cranky 믹스),재판독,14:41
FIESTA~FIESTA 2,105,4,화면에나옴,힙노시스(SynthWulf 믹스),재판독,14:42
FIESTA~FIESTA 2,105,5,화면에나옴,에프 에프 에프,재판독,14:43
FIESTA~FIESTA 2,105,6,화면에나옴,유니크,재판독,14:44
FIESTA~FIESTA 2,105,7,화면에나옴,엑시던트,재판독,14:44.5
FIESTA~FIESTA 2,105,8,화면에나옴,디,재판독,14:45.5
FIESTA~FIESTA 2,105,9,화면에나옴,유 갓 미 락킹,재판독,14:45.5
FIESTA~FIESTA 2,105,10,화면에나옴,루시드(PIU Edit),재판독,14:46.5
FIESTA~FIESTA 2,105,11,화면에나옴,로그인,재판독,14:46.5
FIESTA~FIESTA 2,105,12,화면에나옴,윈드밀,재판독,14:47.5
FIESTA~FIESTA 2,105,13,화면에나옴,팔로우 미,재판독,14:48.5
FIESTA~FIESTA 2,105,14,시각확정,여래아,재판독,14:50
FIESTA~FIESTA 2,105,15,시각확정,멘탈 라이더,재판독,14:51
FIESTA~FIESTA 2,105,16,시각확정,와라유도인?,재판독,14:52
FIESTA~FIESTA 2,105,17,시각확정,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -,재판독,14:53
FIESTA~FIESTA 2,105,18,시각확정,에프 에프 에프 - SHORT CUT -,재판독,14:54
FIESTA~FIESTA 2,105,19,시각확정,유니크 - SHORT CUT -,재판독,14:55
FIESTA~FIESTA 2,105,20,시각확정,유 갓 미 락킹 - SHORT CUT -,재판독,14:56
FIESTA~FIESTA 2,105,21,화면에나옴,클리너,재판독,14:57.5
FIESTA~FIESTA 2,105,22,화면에나옴,인터퍼런스,재판독,14:58.5
FIESTA~FIESTA 2,105,23,화면에나옴,리얼리티,재판독,14:59.5
FIESTA~FIESTA 2,105,24,시각확정,테이크 아웃,재판독,18:13
FIESTA~FIESTA 2,105,25,시각확정,버터플라이,재판독,18:14
FIESTA~FIESTA 2,105,26,시각확정,오버블로우,재판독,18:15
FIESTA~FIESTA 2,105,27,시각확정,위 갓 투 노우,재판독,18:16
FIESTA~FIESTA 2,105,28,시각확정,헝가리 무곡 V,재판독,18:17
FIESTA~FIESTA 2,105,29,시각확정,마왕,재판독,18:18
FIESTA~FIESTA 2,105,30,시각확정,네이티브,재판독,18:19
FIESTA~FIESTA 2,105,31,시각확정,진공 청소기,재판독,18:20
FIESTA~FIESTA 2,105,32,시각확정,에브리바디 갓 투 노우,재판독,18:21
FIESTA~FIESTA 2,105,33,시각확정,인터퍼런스 - FULL SONG -,재판독,18:22
FIESTA~FIESTA 2,105,34,시각확정,트롯프리스 - SHORT CUT -,재판독,18:23
FIESTA~FIESTA 2,105,35,시각확정,클리너 - SHORT CUT -,재판독,18:24
FIESTA~FIESTA 2,105,36,시각확정,테이크 아웃 - SHORT CUT -,재판독,18:25
FIESTA~FIESTA 2,105,37,시각확정,오버블로우 - SHORT CUT -,재판독,18:26
FIESTA~FIESTA 2,105,38,시각확정,야근,재판독,18:27
FIESTA~FIESTA 2,105,39,시각확정,파반느,재판독,18:28
FIESTA~FIESTA 2,105,40,시각확정,잣,재판독,18:29
FIESTA~FIESTA 2,105,41,화면에나옴,ㅁㄴㅇㄹ,재판독,18:30
FIESTA~FIESTA 2,105,42,화면에나옴,조나단의 꿈,재판독,18:31
FIESTA~FIESTA 2,105,43,화면에나옴,엑스트리,재판독,18:32
FIESTA~FIESTA 2,105,44,화면에나옴,소서리스 엘리제,재판독,18:33
FIESTA~FIESTA 2,105,45,시각확정,사랑가 -2막-,재판독,18:33
FIESTA~FIESTA 2,105,46,시각확정,유 갓 투 노우,재판독,18:34
FIESTA~FIESTA 2,105,47,시각확정,데스티네이션,재판독,18:35
FIESTA~FIESTA 2,105,48,시각확정,진공,재판독,18:36
FIESTA~FIESTA 2,105,49,화면에나옴,두 잇 레게 스타일,재판독,18:37
FIESTA~FIESTA 2,105,50,화면에나옴,제네시스,재판독,18:38
FIESTA~FIESTA 2,105,51,화면에나옴,아리랑,재판독,18:39
FIESTA~FIESTA 2,105,52,화면에나옴,테크 -클럽 코펜하겐-,재판독,18:40
FIESTA~FIESTA 2,105,53,화면에나옴,안녕 윌리엄,재판독,18:41
FIESTA~FIESTA 2,105,54,시각확정,터키 행진곡 -미니멀튠즈-,재판독,18:41
FIESTA~FIESTA 2,105,55,화면에나옴,겟 업 (앤 고),재판독,18:42
FIESTA~FIESTA 2,105,56,화면에나옴,팬텀 -인터메조-,재판독,18:43
FIESTA~FIESTA 2,105,57,화면에나옴,미션 파서블 -블로우 백-,재판독,18:44
FIESTA~FIESTA 2,105,58,화면에나옴,펌핑 점핑,재판독,18:45
FIESTA~FIESTA 2,105,59,화면에나옴,반야 프로덕션 클래식 리믹스,재판독,18:46
FIESTA~FIESTA 2,105,60,화면에나옴,파파 헬로이징,재판독,18:47
FIESTA~FIESTA 2,105,61,시각확정,반야 프로덕션 클래식 리믹스 2,재판독,18:47
FIESTA~FIESTA 2,105,62,화면에나옴,셋업 미투 믹스,재판독,18:48
FIESTA~FIESTA 2,105,63,시각확정,엠.에스.군 리믹스 파트.6,재판독,18:49
FIESTA~FIESTA 2,105,64,시각확정,파이널 오디션 2 - SHORT CUT -,재판독,18:50
FIESTA~FIESTA 2,105,65,시각확정,파이널 오디션 3 - SHORT CUT -,재판독,18:51
FIESTA~FIESTA 2,105,66,시각확정,파이널 오디션 에피소드 2-X - SHORT CUT -,재판독,18:52
FIESTA~FIESTA 2,105,67,시각확정,러브 이즈 어 데인저 존 - SHORT CUT -,재판독,18:53
FIESTA~FIESTA 2,105,68,시각확정,러브 이즈 어 데인저 존 pt.2 - SHORT CUT -,재판독,18:54
FIESTA~FIESTA 2,105,69,화면에나옴,엑스트라바간자 - SHORT CUT -,재판독,18:55
FIESTA~FIESTA 2,105,70,화면에나옴,치킨 윙 - SHORT CUT -,재판독,18:56
FIESTA~FIESTA 2,105,71,화면에나옴,윈터 - SHORT CUT -,재판독,18:57
FIESTA~FIESTA 2,105,72,화면에나옴,무혼 2 - SHORT CUT -,재판독,18:58
FIESTA~FIESTA 2,105,73,화면에나옴,월광 - SHORT CUT -,재판독,18:59
FIESTA~FIESTA 2,105,74,시각확정,위치 닥터 - SHORT CUT -,재판독,18:59
FIESTA~FIESTA 2,105,75,시각확정,익시드2 오프닝 - SHORT CUT -,재판독,19:00
FIESTA~FIESTA 2,105,76,시각확정,NX 오프닝 - SHORT CUT -,재판독,19:01
FIESTA~FIESTA 2,105,77,시각확정,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -,재판독,19:02
FIESTA~FIESTA 2,105,78,화면에나옴,비메라 - SHORT CUT -,재판독,19:03
FIESTA~FIESTA 2,105,79,화면에나옴,펌트리스 8비트 ver. - SHORT CUT -,재판독,19:04
FIESTA~FIESTA 2,105,80,시각확정,데스티네이션 - SHORT CUT -,재판독,19:05
FIESTA~FIESTA 2,105,81,화면에나옴,테프리스,재판독,19:06
FIESTA~FIESTA 2,105,82,화면에나옴,네이팜,재판독,19:07
FIESTA~FIESTA 2,105,83,시각확정,드림 투 나이트메어,재판독,22:12
FIESTA~FIESTA 2,105,84,화면에나옴,VVV,재판독,22:13
FIESTA~FIESTA 2,105,85,화면에나옴,팝 더 트랙,재판독,22:14
FIESTA~FIESTA 2,105,86,시각확정,파사칼리아,재판독,22:15
FIESTA~FIESTA 2,105,87,시각확정,바로크 바이러스,재판독,22:16
FIESTA~FIESTA 2,105,88,시각확정,인피니티 리믹스,재판독,22:17
FIESTA~FIESTA 2,105,89,시각확정,팝 더 트랙 - SHORT CUT -,재판독,22:18
FIESTA~FIESTA 2,105,90,시각확정,파사칼리아 - SHORT CUT -,재판독,22:19
FIESTA~FIESTA 2,105,91,시각확정,모노리스,재판독,22:20
FIESTA~FIESTA 2,105,92,시각확정,레이디버그,재판독,22:21
