level,songId,stepId,title,titleEn,artistEn,difficulty,effectiveLevel,voteDifficulty,voteStd,convergenceScore,specialRatio,special,defined,clearCount,totalCount,realClearCount,realTotalCount,breakOnRate,totalBreakOnRate,bpmMin,bpmMax,stepArtist,versionIdOfChart,isPremium,isRemix,deleted,disabled,tagIds,tagVals,imageUrl,youtubeUrl,youtubeUrl3rd
S20,44,174,솔저스 (TANO*C W TEAM RED ANTHEM),Soldiers (TANO*C W TEAM RED ANTHEM),DJ Noriken,S20,20.148199,0.25,0.0,0.658,0.0,False,True,1004,1106,52,124,0.4194,0.9078,170,170,SUNNY,7,False,False,False,False,2|5|3|15|0,2.833|1.500|1.333|0.333|0.000,https://piugame.com/data/song_img2/99346227f519d2f7626b70e5b38c809b.png?v=20260701145646,,https://www.youtube.com/watch?v=U4CUY5UYyVo
S20,65,189,아테나의 방패,Athena's Shield,Jehezukiel,S20,18.954125,-0.243,0.042,0.876,0.0,False,True,1686,1733,382,427,0.8946,0.9729,176,176,SUNNY,7,False,False,False,False,5|2|12|6|9,23.117|3.117|2.333|2.283|0.950,https://piugame.com/data/song_img2/e9d9f977024488f5bb31c9e203621e84.png?v=20260701145646,https://www.youtube.com/watch?v=BB1MKNdbQAE,https://www.youtube.com/watch?v=uhOZgaNOFns
S20,69,205,머독,MURDOCH,WONDERTRAVELER Project,S20,20.035683,0.25,0.0,0.658,0.0,False,True,1562,1641,194,258,0.7519,0.9519,179,179,NIMGO,7,False,False,False,False,5|0|6|14|2,8.867|3.367|2.033|0.533|0.200,https://piugame.com/data/song_img2/8eb8a3021756670ce067a3ef7cfb9f2a.png?v=20260701145646,https://www.youtube.com/watch?v=YEqnJQzO1dI,https://www.youtube.com/watch?v=QVhMJfA_jvU
S20,25,219,호랑이가 쫓아온다,Uh-Heung,DKZ,S20,20.449386,0.375,0.125,0.324,0.4,False,True,1037,1218,60,161,0.3727,0.8514,128,128,CONRAD,7,False,False,False,False,3|2|4|5|6,5.167|2.667|0.500|0.333|0.333,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png?v=20251219163819,https://www.youtube.com/watch?v=eB-zqNhSRXg,https://www.youtube.com/watch?v=vMGxBjH7vlo
S20,76,239,노스텔지어,Nostalgia,Woody,S20,18.975811,-0.186,0.109,0.808,0.0,False,True,1411,1487,253,321,0.7882,0.9489,100,100,CONRAD,7,False,False,False,False,3|12|2|5|15,9.917|7.917|2.167|0.500|0.250,https://piugame.com/data/song_img2/8c79ce4830470629ea3de71335222909.png?v=20260701145646,https://www.youtube.com/watch?v=nUdqt7DlWpQ,https://www.youtube.com/watch?v=LxIbUpUl8FA
S20,52,249,댄싱,Dancing,Said,S20,19.911246,0.315,0.11,0.491,0.12903225806451613,False,True,1190,1258,124,173,0.7168,0.9459,151,151,NIMGO,7,False,False,False,False,16|12|6|5|21,4.833|2.083|1.667|1.583|1.500,https://piugame.com/data/song_img2/f48667b834fd130175badd24da2c911e.png?v=20260701145646,https://www.youtube.com/watch?v=VQts_l1ywAw,https://www.youtube.com/watch?v=4azK-5PHZTE
S20,74,252,위더 가든,wither garden,uma feat. Kanon Tachibana,S20,19.906078,0.5,0.0,0.6,0.0,False,True,1186,1253,82,124,0.6613,0.9465,168,168,CONRAD,7,False,False,False,False,2|5|9|6|4,6.000|2.000|1.750|0.750|0.500,https://piugame.com/data/song_img2/a65ed99146745b6bb879e92af66517fb.png?v=20260701145646,https://www.youtube.com/watch?v=jtrf23Ws5Mk,https://www.youtube.com/watch?v=eEncVba-e4Y
S20,48,256,두 올 다이,DO or DIE,xikers,S20,20.618456,0.5,0.0,0.6,0.0,False,True,1071,1164,62,114,0.5439,0.9201,170,170,FEFEMZ,7,False,False,False,False,5|2|0|1|3,2.500|1.500|0.000|0.000|0.000,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png?v=20251219163819,https://www.youtube.com/watch?v=4JVhq7TIIQQ,https://www.youtube.com/watch?v=rOXLlilDl2M
S20,92,272,* 이 게임은 존재하지 않습니다 *,* this game does not exist *,litmus* x Ester,S20,20.689003,0.7,0.163,0.578,0.0,False,True,1067,1171,68,135,0.5037,0.9112,40,240,DulKi,7,False,False,False,False,14|0|5|12|2,6.083|4.667|2.833|1.333|1.250,https://piugame.com/data/song_img2/89f84e8cf3b3b99a00a93bf032100f8e.png?v=20260701145646,,https://www.youtube.com/watch?v=YLTXqoorloM
S20,94,277,풀 문,Full Moon,Dreamcatcher,S20,20.086526,0.179,0.196,0.544,0.0,False,True,1603,1691,248,325,0.7631,0.948,190,190,NIMGO,6,False,False,False,False,5|14|0|6|12,15.917|2.833|1.583|1.417|0.250,https://piugame.com/data/song_img2/992c331c091355947214279619c2a366.png?v=20260701145646,https://www.youtube.com/watch?v=DdXpLxnIlpM,https://www.youtube.com/watch?v=dy2DG2ALOmY
S20,82,306,요! 세이!! 페어리!!!,Yo! Say!! Fairy!!!,MYUKKE.,S20,20.525053,0.729,0.069,0.521,0.25,False,True,1162,1262,47,102,0.4608,0.9208,150,150,SUNNY,7,False,False,False,False,2|17|20|10|5,3.917|3.500|3.000|1.750|1.083,https://piugame.com/data/song_img2/1afce79a91b11aacedfadb6f8f0c360c.png?v=20260701145646,https://www.youtube.com/watch?v=SYsEpvYCWQ4,https://www.youtube.com/watch?v=o7E3PBIL1VM
S20,103,313,꼭두각시,KUGUTSU,onoken,S20,20.620995,0.821,0.113,0.631,0.0,False,True,1086,1241,38,117,0.3248,0.8751,220,220,CONRAD,7,True,False,False,False,3|0|23|18|5,3.450|2.250|1.117|0.783|0.200,https://piugame.com/data/song_img2/6b61fae3e35139975deb1199f1ad550a.png?v=20260701145646,https://www.youtube.com/watch?v=OihV5woK_S0,https://www.youtube.com/watch?v=aHQnBSl05XU
